,name,priceOld,priceNew,warranty,card,cpu,ram_size,ram_type,hard_driver,touch_screen,panel,screen_size,resolution,os,size,weight
39,Laptop Dell XPS 13 9305 - Cũ Đẹp,,17.490.000đ,"Bảo hành 6 tháng tại CellphoneS không loại trừ linh kiện, bảo hành cả nguồn, màn hình. 1 đổi 1 trong 30 ngày nếu có lỗi phần cứng từ nhà sản xuất(xem chi tiết)",Intel Iris Xe Graphics,Intel Core I7-1165G7,16GB,,SSD 512GB M.2 1,,Tấm nền IPS,13.3 inches,1920 x 1080 pixels (FullHD),Windows 10 Home,301.76 x 199.24 x 11.63 mm (Dài x Rộng x Dày),1.29 kg
40,Laptop Asus Zenbook 14 UX3402ZA-KM219W - Cũ Xước Cấn,27.200.000đ,13.390.000đ,"Bảo hành 6 tháng tại CellphoneS không loại trừ linh kiện, bảo hành cả nguồn, màn hình. 1 đổi 1 trong 30 ngày nếu có lỗi phần cứng từ nhà sản xuất(xem chi tiết)",Intel® Iris Xe Graphics,"Intel Core™ i5-1240P 1.7 GHz (12M Cache, up to 4.4 GHz, 4P+8E cores)  Intel Evo™ Platform",16GB,16GB LPDDR5 on board,512GB M.2 NVMe™ PCIe® 3.0 SSD,,Tấm nền OLED/AMOLED,14 inches,2880 x 1800 pixels,Windows 11 Home - ASUS đề xuất Windows 11 Pro cho doanh nghiệp,31.36 x 22.06 x 1.69 ~ 1.69 cm (W x H x D),1.39 kg (Bao gồm pin)
41,Laptop Asus ZenBook 14 OLED UX3402VA-KM203W - Cũ Đẹp,25.990.000đ,16.890.000đ,"Bảo hành 6 tháng tại CellphoneS không loại trừ linh kiện, bảo hành cả nguồn, màn hình. 1 đổi 1 trong 30 ngày nếu có lỗi phần cứng từ nhà sản xuất(xem chi tiết)",Intel Iris Xe Graphics,"Intel Core i5-1340P (1.9 GHz, 12MB Cache, up to 4.6 GHz, 12 lõi / 16 luồng)",16GB,LPDDR5 Onboard,512GB M.2 NVMe PCIe 4.0 SSD,Không,Tấm nền OLED/AMOLED,14 inches,2880 x 1800 pixels,Windows 11 Home,31.36 x 22.06 x 1.69 ~ 1.69 cm (W x H x D),1.39 kg
42,Laptop Lenovo Ideapad 5 Pro 14ITL6 82L300MAVN - Đã Kích Hoạt,22.300.000đ,15.590.000đ,"Bảo hành 12 tháng tại CellphoneS không loại trừ linh kiện, bảo hành cả nguồn, màn hình. 1 đổi 1 trong 30 ngày nếu có lỗi phần cứng từ nhà sản xuất. (xem chi tiết)",Intel Iris Xe Graphics,"Intel Core i7-1195G7 (4 lõi/8 luồng, 2.9/5.0GHz, 12MB)",16GB,16GB Onboard DDR4-3200,512GB SSD M.2 2242 PCIe 3.0x4 NVMe,Không,Tấm nền IPS,14 inches,2240 x 1400 pixels,Windows 11 Home 64 Single Language,312.2 x 221 x 15.99 mm (W x D x H),1.38 kg
43,Surface Pro 7 Plus Core i5 / 8GB / 128GB - Cũ Trầy Xước,21.700.000đ,10.790.000đ,"Bảo hành 6 tháng tại CellphoneS không loại trừ linh kiện, bảo hành cả nguồn, màn hình. 1 đổi 1 trong 30 ngày nếu có lỗi phần cứng từ nhà sản xuất(xem chi tiết)",Intel Iris X Graphics,Core i5-1135G7,8GB,"LPDDR4x, Không hỗ trợ nâng cấp",128GB SSD,Có,Tấm nền IPS,12.3 inches,2736 x 1824 pixels,Windows 10 Pro hoặc Win 11,292 mm x 201 mm x 8.5 mm,770g
44,Laptop Gaming Acer Nitro 5 Eagle AN515-57-54MV NH.QENSV.003 - Cũ Đẹp,26.490.000đ,13.690.000đ,"Bảo hành 6 tháng tại CellphoneS không loại trừ linh kiện, bảo hành cả nguồn, màn hình. 1 đổi 1 trong 30 ngày nếu có lỗi phần cứng từ nhà sản xuất(xem chi tiết)",NVIDIA® GeForce RTX™ 3050 4G,Intel® Core™ i5-11400H – CPU thế hệ 11 mới nhất,16GB,"DDR4 3200Mhz, 2 khe cắm tối đa 32GB","512GB SSD PCIe NVMe (nâng cấp tối đa 2TB SSD PCIe Gen3, 8 Gb/s, NVMe và 2TB HDD 2.5-inch 5400 RPM)",Không,Tấm nền IPS,15.6 inches,1920 x 1080 pixels (FullHD),Windows 10 Home SL,363.4 (W) x 255 (D) x 23.9 (H) mm,2.2 kg
45,Laptop MSI Modern 15 A11M-1024VN - Cũ Đẹp,14.100.000đ,8.890.000đ,"Bảo hành 6 tháng tại CellphoneS không loại trừ linh kiện, bảo hành cả nguồn, màn hình. 1 đổi 1 trong 30 ngày nếu có lỗi phần cứng từ nhà sản xuất(xem chi tiết)",Intel Iris Xe Graphics,Intel Core i5-1155G7,8GB,DDR4 3200MHz,512GB PCIe NVMe™ M.2 SSD (2 slots),Không,Tấm nền IPS,15.6 inches,1920 x 1080 pixels (FullHD),Windows 11 Home SL,356.8 x 233.75 x 16.9 (mm),1.6 kg
46,Laptop ASUS ZenBook UX325EA-KG363T - Cũ Trầy Xước,25.290.000đ,9.490.000đ,"Bảo hành 6 tháng tại CellphoneS không loại trừ linh kiện, bảo hành cả nguồn, màn hình. 1 đổi 1 trong 30 ngày nếu có lỗi phần cứng từ nhà sản xuất(xem chi tiết)",Intel Iris Xe Graphics,Intel Core i5-1135G7 2.4GHz up to 4.2GHz 8MB,8GB,LPDDR4X 3200MHz,512GB SSD M.2 PCIE G3X2 (1 slot),,Tấm nền OLED/AMOLED,13.3 inches,1920 x 1080 pixels (FullHD),Windows 10 Home SL,30.42 x 20.3 x 1.39 ~ 1.39 cm,1.14kg
47,Laptop Gaming Acer Nitro 5 Eagle AN515-57-5669 NH.QEHSV.001 - Cũ Trầy Xước,23.990.000đ,11.290.000đ,"Bảo hành 6 tháng tại CellphoneS không loại trừ linh kiện, bảo hành cả nguồn, màn hình. 1 đổi 1 trong 30 ngày nếu có lỗi phần cứng từ nhà sản xuất(xem chi tiết)",NVIDIA GeForce GTX 1650 4 GB GDDR6,Intel Core i5-11400H,8GB,DDR4 3200MHz. 2 khe tối đa 32GB,"512GB PCIe NVMe SSD cắm sẵn (nâng cấp tối đa 2TB SSD PCIe Gen3, 8 Gb/s, NVMe và 2TB HDD 2.5-inch 5400 RPM)",Không,Tấm nền IPS,15.6 inches,1920 x 1080 pixels (FullHD),Windows 11 Home SL,363.4 (W) x 255 (D) x 23.9 (H) mm,2.2 kg
48,Surface Pro X-SQ1 - Cũ Trầy Xước,,11.090.000đ,"Bảo hành 6 tháng tại CellphoneS không loại trừ linh kiện, bảo hành cả nguồn, màn hình. 1 đổi 1 trong 30 ngày nếu có lỗi phần cứng từ nhà sản xuất(xem chi tiết)",Microsoft SQ1 Adreno 685 GPU,Microsoft SQ1,8GB,,256GB SSD,,,13 inches,2880 x 1920 pixels,Windows 10 Pro,287 mm x 208 mm x 7.3 mm,774 g
49,Laptop Lenovo Thinkpad X1 Gen 9 - Cũ Đẹp,,21.790.000đ,"Bảo hành 6 tháng tại CellphoneS không loại trừ linh kiện, bảo hành cả nguồn, màn hình. 1 đổi 1 trong 30 ngày nếu có lỗi phần cứng từ nhà sản xuất(xem chi tiết)",Intel Iris Xe Graphics,Intel Core i7 1165G7,16GB,LPDDR4X 4266 MHz,512GB SSD NVMe PCIe,Không,Tấm nền IPS,14 inches,1920 x 1200 pixels (FullHD+),Windows 11 Home,315 x 221.6 x 14.9 mm,1.133 kg
50,Laptop Dell Inspirion 15 3511 PDP3H - Đã Kích Hoạt,14.990.000đ,10.990.000đ,"Bảo hành 12 tháng tại CellphoneS không loại trừ linh kiện, bảo hành cả nguồn, màn hình. 1 đổi 1 trong 30 ngày nếu có lỗi phần cứng từ nhà sản xuất. (xem chi tiết)",Intel Iris Xe Graphics,"Intel Core i5-1135G7 (8 MB cache, 4 nhân, 8 luồng, xung nhịp tốt đa 4.20 GHz Turbo)",8GB,DDR4 2666 MHz,256GB M.2 PCIe NVMe,,Tấm nền IPS,15.6 inches,1080 x 1920 pixels (FullHD),Windows 11 Home,,1.73 kg
51,Laptop Acer Aspire 3 A315-58-53S6 NX.AM0SV.005 - Cũ Trầy Xước,15.990.000đ,7.090.000đ,"Bảo hành 6 tháng tại CellphoneS không loại trừ linh kiện, bảo hành cả nguồn, màn hình. 1 đổi 1 trong 30 ngày nếu có lỗi phần cứng từ nhà sản xuất(xem chi tiết)",Intel Iris Xe Graphics,Intel Core i5-1135G7,8GB,"DDR4, tốc độ bus 2400Mhz",256GB PCIe NVMe SSD (nâng cấp tối đa 2TB HDD và 1TBSSD PCIe NVMe),Không,Tấm nền TFT,15.6 inches,1920 x 1080 pixels (FullHD),Windows 11 Home SL,363.4 (W) x 238.4 (D) x 19.9 (H) mm,1.7 kg
52,Laptop HP 245 G8 61C65PA - Cũ Trầy Xước,7.590.000đ,6.790.000đ,"Bảo hành 6 tháng tại CellphoneS không loại trừ linh kiện, bảo hành cả nguồn, màn hình. 1 đổi 1 trong 30 ngày nếu có lỗi phần cứng từ nhà sản xuất(xem chi tiết)",AMD Radeon Graphics,AMD Ryzen 5 - 5500U,8GB,DDR4 3200 MHz,"256 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB)",Không,Tấm nền IPS,14 inches,1920 x 1080 pixels (FullHD),Windows 11 Home SL,1.47 kg,324 x 225.9 x 19.9 mm
53,Laptop MSI Modern 14 B11MOU-1033VN - Cũ Trầy Xước,21.990.000đ,9.290.000đ,"Bảo hành 6 tháng tại CellphoneS không loại trừ linh kiện, bảo hành cả nguồn, màn hình. 1 đổi 1 trong 30 ngày nếu có lỗi phần cứng từ nhà sản xuất(xem chi tiết)",Intel® Iris® Xe Graphics,"Intel® Core™ i7-1195G7 (2.90GHz up to 5.00GHz, 4 nhân 8 luồng, 12 MB Cache)",8GB,8 GB DDR4 3200MHz So-dimm (1x8GB),512 GB SSD NVMe PCIe Gen3x4,Không,Tấm nền IPS,14 inches,1920 x 1080 pixels (FullHD),WIN11,319 x 219 x 16.9 mm,1.30 kg
54,Laptop ASUS ROG Flow X13 GV301RC-LJ050W - Cũ Đẹp,29.990.000đ,20.690.000đ,"Bảo hành 6 tháng tại CellphoneS không loại trừ linh kiện, bảo hành cả nguồn, màn hình. 1 đổi 1 trong 30 ngày nếu có lỗi phần cứng từ nhà sản xuất(xem chi tiết)",NVIDIA GeForce RTX 3050,AMD Ryzen 7 6800HS,8GB,8GB * 2 onboard LPDDR5,512GB M.2 2230 NVMe™ PCIe® 4.0 SSD,Không,Tấm nền IPS,13.4 inches,1920 x 1200 pixels (FullHD+),Windows 11 Home SL,29.9 x 22.2 x 1.58 ~ 1.58 cm,1.30 Kg
55,Laptop Lenovo IdeaPad 3 14ABA7 82RM003WVN - Cũ Đẹp,14.890.000đ,7.590.000đ,"Bảo hành 6 tháng tại CellphoneS không loại trừ linh kiện, bảo hành cả nguồn, màn hình. 1 đổi 1 trong 30 ngày nếu có lỗi phần cứng từ nhà sản xuất(xem chi tiết)",AMD Radeon Graphics,"AMD Ryzen 5 5625U (6 lõi/12 luồng, 4.3GHz, 16MB L3)",8GB,8GB DDR4-3200 Onboard,256 GB SSD M.2 2242 PCIe 4.0x4 NVMe,Không,Tấm nền TN,14 inches,1920 x 1080 pixels (FullHD),"Windows 11 Home 64, English",324.2 x 215.7 x 19.9 mm (W x D x H),1.43 kg
56,Laptop Fujitsu CH 9C13A1 4ZR1C39165 - Cũ Xước Cấn,,6.990.000đ,"Bảo hành 6 tháng tại CellphoneS không loại trừ linh kiện, bảo hành cả nguồn, màn hình. 1 đổi 1 trong 30 ngày nếu có lỗi phần cứng từ nhà sản xuất(xem chi tiết)",Intel Iris Xe Graphics,Intel Core I5 -1135G7,8GB,"8 GB, LPDDR4X, 4266 MHz",SSD 512 GB,Không,Tấm nền IPS,13.3 inches,1920 x 1080 pixels (FullHD),Windows 10,15.9 x 307 x 208 mm,0.995 kg
57,Laptop Asus VivoBook X515EA-EJ3633W - Đã Kích Hoạt,11.990.000đ,7.590.000đ,"Bảo hành 12 tháng tại CellphoneS không loại trừ linh kiện, bảo hành cả nguồn, màn hình. 1 đổi 1 trong 30 ngày nếu có lỗi phần cứng từ nhà sản xuất. (xem chi tiết)",Intel UHD Graphics,"Intel Core i3-1115G4 3.0 GHz (6M Cache, up to 4.1 GHz, 2 lõi)",8GB,DDR4 Onboard,512GB M.2 NVMe PCIe 3.0 SSD,Không,,15.6 inches,1920 x 1080 pixels (FullHD),Windows 11 Home,36.00 x 23.50 x 1.99 ~ 1.99 cm (W x H x D),1.80 kg
